label_Current_Teacher,CNTLNUM_T,SCHCNTL,CNTLNUM_P,vacnc_difficult_STEM_Yes,number_of_dependents,region_Northeast,region_West,marital_status_Married,race_t_White,race_t_Black,race_t_Hispanic,gender_t_Female,summer_teaching_Yes,nonteaching_job_Yes,nonschool_job_Yes,extracur_act_Yes,merit_pay_Yes,union_member_Yes,BA_major_code_STEM,MA_major_code_STEM,main_tch_fields_cert_type_Regular,MA_deg_Yes,pd_time,pd_finance,remain_in_teaching,STEM_teaching_field,STEM_hours_taught,public_ft_exp,public_pt_exp,private_ft_exp,class_org,main_teaching_lastyr_Same_as_thisyr,ft_pt_status_FT,teaches_ungraded_Yes,teaches_7_to_12,new_teacher_Yes,percent_minority_students,FRPL_eligible_k_12_students,student_teacher_ratio,sch_type,level_Elementary,urbanicity,title_I_receive_students_Yes,age_p,salary,yrs_princpl_this_sch,yrs_princpl_oth_schls,yrs_tchng_before_princpl,yrs_tchng_since_princpl,deg_highest_P,race_p_Black,race_p_White,race_p_Hispanic,gender_p_Female,incentives_pay,incentives_recruit_NonSTEM
0,101824,100444,107129,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,3,0,7,2,0,0,3,1,1,0,0,1,3,4,14.5,1,1,1,1,3,1,5,0,19,0,3,0,1,0,0,0,0
0,112332,100449,109785,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,4,0,0,3,1,0,1,1,1,0,0,0,2,3,16.25,1,1,3,1,3,1,3,0,8,3,3,0,1,0,0,0,0
0,119617,100470,103385,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,18,0,0,1,1,1,0,1,0,4,4,14.31,1,1,1,1,3,4,2,0,14,0,4,1,0,0,0,0,0
0,134249,100471,102745,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,5,1,0,35,0,0,1,1,1,0,1,0,2,2,14.34,1,0,2,0,3,3,4,2,18,0,3,0,1,0,0,0,0
0,119509,100475,101053,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,23,0,0,1,1,1,0,1,0,2,2,17.85,1,0,3,0,4,5,18,1,3,1,5,0,1,0,0,0,0
0,100123,100482,101688,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,3,0,0,4,0,0,1,1,1,0,1,0,2,2,21.43,1,0,2,0,5,6,10,0,9,0,3,0,1,0,0,1,0
0,123714,100482,101688,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,1,0,33,0,0,1,1,1,0,1,0,2,2,21.43,1,0,2,0,5,6,10,0,9,0,3,0,1,0,0,1,0
0,104447,100488,100954,0,2,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,0,3,26,0,0,3,1,1,0,0,0,2,3,13.99,1,1,3,1,4,3,11,0,20,0,4,0,1,0,0,0,0
0,144454,100491,105081,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,10,1,2,0,3,0,1,0,0,1,4,4,16.68,1,1,2,1,4,1,1,5,20,6,5,1,0,0,0,1,0
0,145504,100492,110537,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,31,0,0,1,1,1,0,0,0,3,3,17.81,1,1,2,1,4,4,3,0,13,0,3,0,1,0,0,0,0
0,148371,100504,102600,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,0,9,32,0,0,3,1,1,0,0,0,2,2,12.0,1,1,2,0,3,6,6,0,20,0,5,0,1,0,1,1,0
0,114626,100516,107785,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,0,0,26,0,0,1,1,1,0,1,0,1,4,14.63,1,1,2,0,4,4,15,6,5,0,3,0,1,0,0,0,0
0,137050,100530,105391,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,31,0,0,1,1,1,0,1,0,3,3,15.38,1,0,2,0,5,3,10,20,4,0,3,0,1,0,0,0,0
0,119972,100531,106443,1,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,4,0,0,24,0,0,4,1,1,0,1,0,4,4,16.54,1,0,1,1,3,3,3,4,14,0,3,0,0,1,1,1,1
0,136780,100537,108053,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,4,0,3,11,0,0,3,1,1,0,1,0,2,4,16.51,1,0,3,0,1,2,2,0,4,0,3,0,1,0,0,1,0
0,119053,100540,108713,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,21,0,0,5,1,0,0,0,0,4,4,12.6,1,1,2,1,3,3,14,0,10,0,4,1,0,0,1,0,0
0,107974,100557,104673,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,7,3,0,2,3,1,1,0,0,0,3,4,11.16,1,1,1,1,3,3,13,6,7,0,4,0,1,0,0,0,0
0,147269,100557,104673,0,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,2,0,0,14,0,0,5,1,0,0,0,0,3,4,11.16,1,1,1,1,3,3,13,6,7,0,4,0,1,0,0,0,0
0,111232,100559,100660,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,0,2,1,0,0,0,1,2,1,16.9,1,0,2,0,5,3,20,0,13,0,5,0,1,0,0,0,0
0,136580,100571,105264,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,2,0,0,15,2,0,3,1,1,0,0,0,4,4,14.71,1,1,2,1,3,4,3,0,16,0,4,0,1,0,0,1,0
0,104168,100577,101073,0,2,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,5,0,5,18,0,0,3,1,1,0,1,0,4,4,5.16,4,0,1,0,4,4,5,0,9,0,4,0,1,0,0,1,1
0,134850,100597,105421,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,2,0,0,32,0,0,1,1,1,0,1,0,3,2,10.22,1,0,2,1,5,6,7,10,13,0,4,0,1,0,0,1,0
